"Basil, Saint, Bishop of Caesarea",88967224
Basilius Valentinus,31992530
"Basilius Minimus, Bishop of Caesarea",261109502
"Basin, Thomas",89665967
"Basiron, Philippe",44567375
"Batman, Stephen",52035948
"Beatus, Saint, Presbyter of Liebana",67256398
"Beccadelli, Antonio",17217928
"Beckwith, Thomas",206339758
"Beke, Johannes de",66822841
"Belcari, Feo",64122789
"Beleth, Jean",24637109
"Bembo, Pietro",54144140
"Bencivenni, Zucchero",76341689
"Benedict, Saint, Abbot of Monte Cassino",100179656
Bernard Silvestris,88800528
"Bersuire, Pierre",51835136
"Betti, Claudio",70543315
"Bianchini, Giovanni",72192537
"Boccalini, Traiano",14834950
"Boccus, King",22015876
"Boiardo, Matteo Maria",39400425
"Bologni, Girolamo",39458155
"Bonatti, Guido",39582006
"Bonaventure, Saint, Cardinal",89657091
"Bonet, Honore",88854910
"Boniface VIII, Pope",23416912
"Bonisoli, Ognibene",205914299
"Bouchet, Jean",46755492
"Bracciolini, Jacopo",100170880
"Bracciolini, Poggio",19722038
"Bracton, Henry de",47555925
"Bradwardine, Thomas",76375851
"Brahe, Tycho",73850627
"Brant, Sebastian",29530930
"Bredon, Simon",96800842
"Brendan, Saint, the Voyager",3871497
"Bruni, Leonardo",95283478
"Brutus, Marcus Junius",63975332
"Bullinger, Heinrich",56624475
"Buonaccorsi, Filippo",46768955
"Buondelmonti, Cristoforo",44379092
"Buridan, Jean",51683865
"Burlaeus, Gualterus",86734224
"Bussi, Giovanni Andrea",307157545
"Caesar, Julius",286265178
"Calderinus, Joannes",100160212
"Cambini, Andrea",42130557
"Capponi, Serafino",52029897
"Cassian, John",7408676
"Cato, Marcus Porcius",99852885
"Catullus, Gaius Valerius",100218993
"Cavalca, Domenico",29576537
"Cavendish, George",19750093
Cecco d'Ascoli,312734750
"Ceffi, Filippo",78674628
"Celsus, Aulus Cornelius",100172872
"Chappuis, Jean",34513740
"Charles V, King of France",44307104
"Chartier, Alain",262681233
"Chastellain, Georges",39374986
"Choque, Pierre",79139292
"Chrysoloras, Manuel",90639363
"Cicogna, Pasquale",76125621
"Ciminelli, Serafino",44449408
"Claudianus, Claudius",246763674
"Clement V, Pope",89498055
"Columbus, Christopher",17231583
"Columella, Lucius Junius Moderatus",95243635
"Constantine VII Porphyrogenitus, Emperor of the East",13108540
"Contarini, Gasparo",5009389
"Contarini, Tommaso",75748091
"Cooke, Robert",59956753
"Corbichon, Jean",64121529
"Cornazzano, Antonio",44325667
"Courcy, Jean de",69367792
"Crescenzi, Pietro de'",24649244
"Cuthbert, Saint, Bishop of Lindisfarne",264324310
"Cyprian, Saint, Bishop of Carthage",100179090
"Cyril, Saint, Bishop of Jerusalem",2437490
"Cyril, Saint, Patriarch of Alexandria",51687951
"D'Angelo, Jacopo",65052166
Dante Alighieri,97105654
"Davy, Robert",33632160
