Kassel Lib	http://sdbm.library.upenn.edu/sources/13342
Kingsborough	http://sdbm.library.upenn.edu/sources/13343
Koninklijke Hag	http://sdbm.library.upenn.edu/sources/13344
Koninklijke-Hag	http://sdbm.library.upenn.edu/sources/13345
Kristeller	http://sdbm.library.upenn.edu/sources/13346
Kristeller	http://sdbm.library.upenn.edu/sources/13347
Libary of James M. Osborn	http://sdbm.library.upenn.edu/sources/13348
Liverpool Mus	http://sdbm.library.upenn.edu/sources/13349
Marston	http://sdbm.library.upenn.edu/sources/13350
Marston	http://sdbm.library.upenn.edu/sources/13352
Mellon	http://sdbm.library.upenn.edu/sources/13354
Mellon	http://sdbm.library.upenn.edu/sources/13356
Michigan	http://sdbm.library.upenn.edu/sources/13358
Misc D	http://sdbm.library.upenn.edu/sources/13359
Ms	http://sdbm.library.upenn.edu/sources/13360
Munster Lib	http://sdbm.library.upenn.edu/sources/13361
Nat Lib Wales	http://sdbm.library.upenn.edu/sources/13362
National Library of Israel on-line catalogue - microfilmed manuscripts	http://sdbm.library.upenn.edu/sources/13363
No. 84	http://sdbm.library.upenn.edu/sources/13364
Oxford U	http://sdbm.library.upenn.edu/sources/13366
P 216	http://sdbm.library.upenn.edu/sources/13367
Pembroke Coll	http://sdbm.library.upenn.edu/sources/13369
Phillipps	http://sdbm.library.upenn.edu/sources/13370
Phillipps	http://sdbm.library.upenn.edu/sources/13371
Phillipps	http://sdbm.library.upenn.edu/sources/13372
Phillipps	http://sdbm.library.upenn.edu/sources/13373
Phillipps	http://sdbm.library.upenn.edu/sources/13374
Phillipps	http://sdbm.library.upenn.edu/sources/13375
Phillipps	http://sdbm.library.upenn.edu/sources/13376
Phillipps	http://sdbm.library.upenn.edu/sources/13378
Phillipps	http://sdbm.library.upenn.edu/sources/13379
Phillipps	http://sdbm.library.upenn.edu/sources/13380
Phillipps	http://sdbm.library.upenn.edu/sources/13382
Phillipps	http://sdbm.library.upenn.edu/sources/13383
Phillipps	http://sdbm.library.upenn.edu/sources/13384
Phillipps	http://sdbm.library.upenn.edu/sources/13385
Phillipps	http://sdbm.library.upenn.edu/sources/13387
Phillipps	http://sdbm.library.upenn.edu/sources/13388
Phillipps	http://sdbm.library.upenn.edu/sources/13389
Phillipps	http://sdbm.library.upenn.edu/sources/13390
Phillipps	http://sdbm.library.upenn.edu/sources/13392
