http://sdbm.library.upenn.edu/names/12006,12006,"Pease, Helen | Pease, Lucy | Pease, William"
http://sdbm.library.upenn.edu/names/12341,12341,"Bullrich, E.J., esq | Alvear, D. L."
http://sdbm.library.upenn.edu/names/12538,12538,"Allen, Henry Ellis | Allen, Samuel"
http://sdbm.library.upenn.edu/names/12988,12988,"Canonici, Matteo L. | Saibante, Giovanni"
http://sdbm.library.upenn.edu/names/13039,13039,"Sebright, Sir John | Twysden, Sir Roger"
http://sdbm.library.upenn.edu/names/13194,13194,"Arundel Castle | Gwendolen Fitzalan-Howard, Duchess of Norfolk"
http://sdbm.library.upenn.edu/names/13353,13353,"Wodhull, Michael | Severne, J. E."
http://sdbm.library.upenn.edu/names/13718,13718,"Enschede, Izaak | Enschede, Iohannes | Enschede, Dr. Iohannes"
http://sdbm.library.upenn.edu/names/13932,13932,"Potter, Richard | Potter, Rockwell, Dr. and Mrs."
http://sdbm.library.upenn.edu/names/14309,14309,"Inglis, Dr. C. | Inglis, J. B."
http://sdbm.library.upenn.edu/names/14455,14455,"Charlemont, Earl of|Thompson"
http://sdbm.library.upenn.edu/names/14898,14898,Deville | Dufour
http://sdbm.library.upenn.edu/names/15175,15175,"De Briailles, Comte Henri Chandon | De Briailles, Comte Francois Chandon"
http://sdbm.library.upenn.edu/names/15294,15294,"Wurtz | Audenet, A."
http://sdbm.library.upenn.edu/names/15548,15548,"Holland, Lancelot | Holland, Henry"
http://sdbm.library.upenn.edu/names/17244,17244,"Hauck, Cornelius J. | Cincinnati Museum Center"
http://sdbm.library.upenn.edu/names/18053,18053,Scott | Farquharson
http://sdbm.library.upenn.edu/names/19428,19428,"Petau, Alexandre | Mansart, Francois"
http://sdbm.library.upenn.edu/names/7076,7076,Ogle/Duncan
http://sdbm.library.upenn.edu/names/7255,7255,Potier/De Lavialle
http://sdbm.library.upenn.edu/names/7338,7338,Muller/Nijhoff
http://sdbm.library.upenn.edu/names/7393,7393,Pawlowski/Labitte
http://sdbm.library.upenn.edu/names/7569,7569,Sangiorgi/Menozzi
http://sdbm.library.upenn.edu/names/7795,7795,Hoepli/Fitzwilliam
http://sdbm.library.upenn.edu/names/7867,7867,American Art/Anderson
http://sdbm.library.upenn.edu/names/7929,7929,Romer/Williams
http://sdbm.library.upenn.edu/names/8006,8006,American Art Association/ Anderson Galleries
http://sdbm.library.upenn.edu/names/8247,8247,Hoepli/Kundig
http://sdbm.library.upenn.edu/names/8425,8425,Salet/Soete
http://sdbm.library.upenn.edu/names/8555,8555,Rheims/Laurin
http://sdbm.library.upenn.edu/names/8602,8602,Laurin/Guilloux
http://sdbm.library.upenn.edu/names/8726,8726,Brand/Lowry
http://sdbm.library.upenn.edu/names/8744,8744,Delavenne/Lafarge
http://sdbm.library.upenn.edu/names/8752,8752,Goswamy/Fischer
http://sdbm.library.upenn.edu/names/8807,8807,Millon/Robert
http://sdbm.library.upenn.edu/names/8883,8883,Laurin/Guilloux/Buff
http://sdbm.library.upenn.edu/names/8896,8896,Ferrini / Les Enluminures
http://sdbm.library.upenn.edu/names/8967,8967,Quentin/Forgeot
http://sdbm.library.upenn.edu/names/8971,8971,Ketterer/Doerling
http://sdbm.library.upenn.edu/names/8992,8992,"Fogg, Sam/Les Enluminures"
http://sdbm.library.upenn.edu/names/9134,9134,DREYFUS/VALETTE
http://sdbm.library.upenn.edu/names/9174,9174,American/Anderson
http://sdbm.library.upenn.edu/names/9191,9191,Breslauer/Liepmauns
http://sdbm.library.upenn.edu/names/9202,9202,Chez de Bure/Hochereau
http://sdbm.library.upenn.edu/names/9229,9229,L'art ancien/haus der Bucher
http://sdbm.library.upenn.edu/names/9278,9278,Anderson/Anderson
http://sdbm.library.upenn.edu/names/9330,9330,paris/dubreuil
http://sdbm.library.upenn.edu/names/9331,9331,baer/busch
http://sdbm.library.upenn.edu/names/9332,9332,dubreuil/leclerc
http://sdbm.library.upenn.edu/names/9333,9333,paris/petit
http://sdbm.library.upenn.edu/names/9337,9337,ball/graupe
http://sdbm.library.upenn.edu/names/9338,9338,terris/nice
http://sdbm.library.upenn.edu/names/9342,9342,muller/mensing
http://sdbm.library.upenn.edu/names/9349,9349,rheims/vidal-megret
http://sdbm.library.upenn.edu/names/9356,9356,paris/rheims/de nobele
http://sdbm.library.upenn.edu/names/9365,9365,galliera/laurin
http://sdbm.library.upenn.edu/names/9367,9367,drouot/delorme
http://sdbm.library.upenn.edu/names/9379,9379,oger/dumont (paris)
http://sdbm.library.upenn.edu/names/9383,9383,drouot delavenne/lafarge
http://sdbm.library.upenn.edu/names/9397,9397,drouot couturier/nicolay
http://sdbm.library.upenn.edu/names/9407,9407,drouot vregille/bizouard
http://sdbm.library.upenn.edu/names/9410,9410,drouot beaussant/ lefevre
http://sdbm.library.upenn.edu/names/9413,9413,drouot rieunier/ bailly-pommery
http://sdbm.library.upenn.edu/names/9416,9416,Les Enluminures/ Brisigotti/ Longari
http://sdbm.library.upenn.edu/names/9419,9419,gunther/ ursus
http://sdbm.library.upenn.edu/names/9420,9420,gunther/ ferrini
http://sdbm.library.upenn.edu/names/9421,9421,drouot laurin/guilloux-buffetard
http://sdbm.library.upenn.edu/names/9424,9424,Forum/ Les Enluminures
http://sdbm.library.upenn.edu/names/9430,9430,gunther/pregliasco/thomas-scheler
http://sdbm.library.upenn.edu/names/9435,9435,fogg/blumka
http://sdbm.library.upenn.edu/names/9440,9440,bober/ ferrini
http://sdbm.library.upenn.edu/names/9453,9453,couturier/nicolay martin
http://sdbm.library.upenn.edu/names/9488,9488,asher/forum
http://sdbm.library.upenn.edu/names/9498,9498,hoepli/fischer
http://sdbm.library.upenn.edu/names/9941,9941,richardson/fisher
http://sdbm.library.upenn.edu/names/9978,9978,ader/picard/tajan
http://sdbm.library.upenn.edu/names/10053,10053,nijhoff/brill
http://sdbm.library.upenn.edu/names/10054,10054,van der vinne/lamberts
http://sdbm.library.upenn.edu/names/10055,10055,van cleef/scheurleer
http://sdbm.library.upenn.edu/names/10088,10088,Buckingham/o'conor
http://sdbm.library.upenn.edu/names/10146,10146,ascher/forum
http://sdbm.library.upenn.edu/names/10148,10148,"Bluff, Salle/ Toeplitz, Stanislas E.."
http://sdbm.library.upenn.edu/names/10181,10181,ader/picard/pescheyeau
http://sdbm.library.upenn.edu/names/10239,10239,Ader/PICAN/TAJAN
http://sdbm.library.upenn.edu/names/10312,10312,gothier/jamar
http://sdbm.library.upenn.edu/names/10439,10439,israel/asher
http://sdbm.library.upenn.edu/names/10488,10488,brill/muller
http://sdbm.library.upenn.edu/names/12829,12829,Cardinal Antonio Saverio Gentili/ Marchese Campana
http://sdbm.library.upenn.edu/names/13018,13018,Charles De Rohan/Soubise
http://sdbm.library.upenn.edu/names/13727,13727,Andreas Darmarios/Guiseppe
http://sdbm.library.upenn.edu/names/14255,14255,Mir Ali/Haidar Ibn Ibrahim Al-Hussaini
http://sdbm.library.upenn.edu/names/15453,15453,Young/ Wills
http://sdbm.library.upenn.edu/names/15576,15576,martin/belt
http://sdbm.library.upenn.edu/names/15688,15688,Johannes Leodii / John of Liege
http://sdbm.library.upenn.edu/names/16578,16578,Buckingham/Stow
http://sdbm.library.upenn.edu/names/19262,19262,"Dyserinck, M. H. /Mr. Le Dr. Van de Corput"
http://sdbm.library.upenn.edu/names/20512,20512,Leonardum de Aquisgrano/Leonard of Aachen
http://sdbm.library.upenn.edu/names/23029,23029,Baring/Labouchere
