id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9937,Rhodes-Cambridge,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9936,Peignot-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9935,Bonn,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9934,Lacoste,84205388,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9933,Harris-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9932,Lesne-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9931,Liverpool,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9930,Brabrook-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9929,Tyningham,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9928,Menlen-Leiden,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9927,Cohen-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9926,Ersch-Leipzig,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9925,Cartari-Roma,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9924,Mabillon-Venice,,,0,0,0,3,0,0,false,false,true,false,true,(none),"",(none),""
9923,Boscha-Mediola,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9922,Mamur-Brussels,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9921,Nodier-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9920,Santander,,,0,0,0,1,0,22,false,false,true,false,true,(none),"",(none),""
9919,Burrell,42024720,,0,0,0,1,0,34,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
