id,date,source_type,entries_count,title,display_value,author,selling_agent,institution,whether_mss,medium,date_accessed,location_institution,location,link,comments,created_by,created_at,updated_by,updated_at
34582,,Online-only Auction or Bookseller Website,2,http://www.kingalfredsnotebook.com/home/index,King Alfred's Notebook (Scott Gwara) - http://www.kingalfredsnotebook.com/home/index,,King Alfred's Notebook (Scott Gwara),"",Yes,internet,20151110,,,http://www.kingalfredsnotebook.com/available/index,Homepage says that the website is updated every two months and that they try to remove sold items from listings immediately.,stew,"November 10, 2015 20:08",stew,"November 10, 2015 20:27"
34263,1123,Collection Catalog,31,Librorum Elnonensium Minor Index,"1123 - Saint-Amand-les-Eaux, Saint-Amand Abbey (Monasterium Elnonensis) - Librorum Elnonensium Minor Index",,"","Saint-Amand-les-Eaux, Saint-Amand Abbey (Monasterium Elnonensis)",Yes,,,,"",,,manuscript_database,"August 05, 2014 16:15",(none),""
23027,1761,Other Published Source,0,"No. General index: Vols.xxi,xxii,xxiii & xxiv","1761 - No. General index: Vols.xxi,xxii,xxiii & xxiv",,"","",No,,,Cambridge University Library (CUL),"",,"Obtained catalog (""provenance"") from: ""munby c384 2."".",ljs_catalog_sources,"April 16, 2010 20:52",aldevine,"April 23, 2010 12:13"
22997,1760,Other Published Source,0,No. general index: London magazine,1760 - No. general index: London magazine,,"","",No,,,Cambridge University Library (CUL),"",,"Obtained catalog (""provenance"") from: ""munby c376"".",ljs_catalog_sources,"April 16, 2010 20:52",aldevine,"April 23, 2010 12:13"
18629,1902-03-08,Auction/Sale Catalog,0,No. index 1-6:,"1902-03-08 - Voynich, Wilfrid Manuel - No. index 1-6:",,"Voynich, Wilfrid Manuel","",,,,LJS,"",,"Obtained catalog (""provenance"") from: ""barnet kottler"".",ljs_catalog_sources,"April 16, 2010 20:52",aldevine,"June 21, 2011 11:04"
31,1675,Collection Catalog,314,Index manuscriptorum Bibliothecae Augustanae (A. Reiser),"1675 - Augsburg, Staats- und Stadtbibliothek - Index manuscriptorum Bibliothecae Augustanae (A. Reiser)",,"","Augsburg, Staats- und Stadtbibliothek",Yes,,,,"",,,manuscript_database,"April 14, 2010 10:05",(none),""
